y,x
55.7888013,37.3722784
55.7863338,37.3709063
55.7716595,37.369695
55.7688625,37.3696022
55.7633507,37.3694397
55.7868758,37.3707813
55.7734827,37.3694189
55.7681674,37.3692346
55.7656854,37.3725642
55.7653073,37.3704777
55.7648642,37.3685179
55.7635501,37.3683512
55.763294,37.3690823
55.7236919,37.3787983
55.7234846,37.3789628
55.7922076,37.3745736
55.7896785,37.3733016
55.7902855,37.3735387
55.7894879,37.3732992
55.7653763,37.3704997
55.7648885,37.3683436
55.7650018,37.3666803
55.7659392,37.3751317
55.7718059,37.3655581
55.841639,37.3724824
55.8423901,37.3540882
55.8425263,37.3538008
55.8498529,37.3671307
55.846735,37.3604905
55.8466184,37.3607889
55.8409849,37.3514199
55.8402409,37.349034
55.8396592,37.3448673
55.8404793,37.3508974
55.8400481,37.3490646
55.8312742,37.3548415
55.8342938,37.3497683
55.8379577,37.3522135
55.8414878,37.3713934
55.791886,37.3750642
55.7902141,37.3730585
55.7676116,37.3692178
55.6398923,37.372626
55.645468,37.3650193
55.6400323,37.3796523
55.6337597,37.3412888
55.8496975,37.3674363
55.7667574,37.376791
55.7679171,37.3737061
55.7699212,37.3693123
55.7707584,37.3693308
55.7696454,37.3696304
55.7691539,37.3710378
55.7693557,37.3708409
55.770846,37.3676419
55.7707296,37.3677056
55.7711078,37.366893
55.7706883,37.366955
55.7655236,37.3691166
55.7655504,37.3695023
55.7646627,37.3694758
55.7674086,37.3695549
55.7644237,37.3661692
55.788807,37.3769666
55.7942841,37.3769688
55.8420481,37.3713968
55.6340629,37.3416259
55.8499592,37.3678951
55.8560849,37.3553952
55.6340847,37.3432263
55.6340664,37.3426774
55.7306857,37.3773808
55.7331988,37.3757084
55.7353552,37.374596
55.7320952,37.3785771
55.7320254,37.3767004
55.8277929,37.3681425
55.6333944,37.3343572
55.6329861,37.3345615
55.6319092,37.3350693
55.6344258,37.3421385
55.6381736,37.3536393
55.6386255,37.3527881
55.6455114,37.339754
55.6384593,37.3530766
55.6383764,37.3532471
55.6418505,37.3581342
55.6433444,37.3612264
55.6416792,37.3584657
55.7666159,37.3765377
55.7860121,37.3555187
55.7650498,37.3672457
55.8288562,37.3716457
55.6416205,37.3590791
55.6492592,37.3710346
55.6456098,37.3649266
55.7703518,37.3712785
55.7675228,37.3758268
