y,x
51.3646347,83.5803436
53.2106036,83.6802311
53.2101919,83.6808316
53.4235683,83.972507
53.4588603,83.9271759
53.3822676,83.9887104
53.3873704,83.7415461
53.3444929,83.6713308
53.3656108,83.7877363
53.3724307,83.9528558
53.3269299,83.7983665
53.3250121,83.790543
53.3275263,83.8004399
53.3404443,83.7406732
53.3479718,83.7627812
53.3681098,83.7071572
53.371243,83.6775924
53.3299712,83.7602894
53.361437,83.7790279
53.3620232,83.7277604
53.3270207,83.7994507
53.387376,83.7366121
53.3449195,83.6714349
53.3411598,83.6944938
53.3424152,83.6967992
53.344708,83.6961346
53.3408816,83.6959981
53.3804433,83.9869553
53.4577164,83.9360543
53.3590617,83.7008222
53.3617054,83.6759272
53.3873457,83.7141695
53.3251423,83.7912854
53.3238421,83.7870571
53.3728564,83.9533662
53.4540757,83.9334746
53.3445201,83.6710309
53.3425504,83.6953183
53.3447317,83.6958059
53.3873193,83.6839877
53.3599038,83.7002041
53.3537972,83.7211413
53.3538797,83.7214927
53.3362323,83.7762387
53.3547186,83.7695755
53.3491071,83.7618316
53.3144897,83.7037268
53.4234636,83.9741085
53.3555778,83.7695152
53.3544074,83.770381
53.3731434,83.7496304
53.3284993,83.798573
53.3816375,83.7400564
53.3802828,83.7419412
53.3833014,83.7466408
53.385367,83.6837045
53.3628065,83.7705753
53.3386175,83.773569
53.3689275,83.754181
53.3744499,83.7477931
53.3738573,83.7509742
53.4252103,83.9760118
53.3240078,83.7888182
53.3799372,83.9862433
53.4246123,83.9704606
53.4466712,83.9392896
53.3385976,83.694788
53.3867649,83.7434623
53.3463923,83.6717812
53.3649196,83.7585173
53.3356139,83.668869
53.3349012,83.7777613
53.4028359,83.9901977
53.288818,84.325076
53.4224532,83.9726705
53.5970266,83.7608588
53.5801798,83.7737253
53.3300687,83.6641223
53.3754883,83.9818653
53.3779701,83.9845904
53.339283,83.7363074
53.4564328,83.9354837
53.364169,83.7792127
53.3779147,83.7440613
53.3774629,83.9844914
53.3274497,83.7986589
53.5961817,83.7606484
53.3280642,83.7996541
53.4384481,83.9475461
53.4469288,83.9384827
53.3743228,83.7526681
53.3559594,83.6984023
53.5284762,83.8420011
53.5289727,83.8412327
53.3870519,83.7424851
53.5868546,83.7673721
53.3402778,83.740114
53.3405724,83.7398753
53.3558057,83.7696754
53.3417228,83.7000314
53.4889366,83.8979793
53.3493198,83.7619124
53.3798668,83.6827785
53.5560779,83.8317506
53.4618928,83.9214588
53.4907049,83.8955927
53.5353615,83.8378744
53.5509184,83.8365009
53.3947318,83.9899135
53.416211,83.980971
53.32993,83.6649777
53.3626678,83.7796127
53.3674138,83.7076179
53.349195,83.6968308
53.327037,83.6914117
53.3270041,83.6927382
53.6300317,83.7370714
53.3223933,83.7841156
53.3675928,83.7067251
53.3274192,83.6928345
53.3424875,83.6912301
53.3153568,83.8326686
53.6440668,83.7283911
53.6124191,83.7494025
53.3806824,83.9927655
53.350386,84.1315288
53.3521156,83.7648394
53.3629767,83.7713245
53.2682103,83.7282473
53.2684622,83.7287197
53.2684328,83.7282393
53.2916696,84.3133707
53.267122,84.3930271
53.2884652,84.32473
53.2703744,83.7247171
53.98672,84.6990205
53.9869986,84.6992099
53.265031,84.40439
52.7541334,84.9260726
52.9671544,84.7494144
52.7544484,84.9255598
52.7269417,84.9701145
52.7979119,84.890929
52.9170991,84.8122083
52.9674892,84.750645
52.6329754,84.4131993
51.9859749,84.4567902
51.5883413,84.4029084
53.0504516,85.6467922
52.4386747,85.5232755
52.55433,85.2223402
52.5116748,85.1617061
52.3801712,85.1243602
52.5282862,85.1561773
52.532258,85.1903515
52.5360719,85.2063308
52.5093762,85.1421749
52.534149,85.1462339
52.5338163,85.145004
52.5790988,85.3265261
52.5383362,85.2681438
52.5195325,85.2649675
52.534805,85.1966642
52.5337942,85.1459061
52.5343132,85.1454011
52.3815597,85.1269062
52.5311078,85.1808961
52.5083536,85.1352499
52.5375428,85.1564621
52.5508917,85.2018073
52.5113071,85.1587873
52.5103621,85.1501133
52.5318294,85.186922
52.5778096,85.3161925
52.5137008,85.1738936
52.5332077,85.1809063
52.5115556,85.160781
52.5349338,85.195636
52.5484665,85.2146323
52.5288491,85.2533815
52.5471769,85.3204562
52.3824327,85.1268645
52.5425593,85.3227779
52.5672103,85.2426996
52.4913962,85.3269565
52.5793143,85.2553782
52.5797004,85.2547561
52.5758061,85.1800263
52.5790687,85.1775918
52.575612,85.2813172
52.5745885,85.2784429
52.5356261,85.1997463
52.5373583,85.1568823
52.5310545,85.2335954
52.5773755,85.3202165
52.5793541,85.2562202
52.5796119,85.2555098
52.5799756,85.2555637
52.5189669,85.258742
52.575288,85.2783693
52.5319864,85.2327726
52.4918124,85.3257197
52.5581323,85.3296847
52.5566292,85.3290349
52.6760066,85.0515506
52.5946455,85.1508371
52.5213541,85.2528029
52.5433628,85.217657
52.5949734,85.1511249
52.539114,85.2224128
52.5320755,85.1904222
52.3127032,85.0977147
51.9978359,85.3540705
51.9705618,85.3449626
51.9315473,85.333631
51.9702368,85.34336
51.9700357,85.3438959
52.0781678,85.017794
52.0761787,85.0178814
52.0102021,84.9980351
52.0796,84.9954754
51.9002401,85.8609126
51.9001491,85.8610401
51.888734,85.8237864
51.888388,85.8229172
51.8880972,85.8245033
51.8272357,85.7415312
51.7578973,83.3530712
51.8788027,83.3121792
51.877994,83.3114834
51.8783176,83.3120414
51.7191402,83.3778413
52.7059868,83.1842095
52.7067557,83.183682
52.8083893,83.1042098
53.3082208,83.6225321
53.3534947,83.5563936
53.3492311,83.6204667
53.3594883,83.5491333
53.3399302,83.4221572
53.3381613,82.9282144
53.3078601,83.6223785
53.3487469,83.6203723
53.3481824,82.9632471
53.3601642,83.5463148
53.3097345,83.0250893
