y,x
59.895094,30.3314215
59.8993013,30.3374752
59.9017314,30.3395524
59.9120443,30.3483705
59.9149316,30.3502097
59.9463873,30.2897198
59.9381263,30.2945979
59.9365623,30.2888692
59.9141862,30.3549587
59.9136143,30.36233
59.9144177,30.3747367
59.9291284,30.3475315
59.9435541,30.412234
59.946571,30.3488478
59.9372518,30.2121605
59.9401126,30.2155332
59.9404907,30.2172321
59.9379996,30.3425297
59.9324534,30.2740882
59.9358485,30.2837511
59.8519932,30.3028921
59.8520112,30.3066147
59.7806999,30.3250134
59.7193781,30.2832552
59.8519151,30.2803513
59.8519276,30.2829177
59.8520168,30.238552
59.8543029,30.2675078
59.8574522,30.1763968
59.861282,30.1796549
59.8537011,30.3606666
59.8546205,30.3686048
59.8656379,30.4143779
59.8788329,30.4551119
59.8818613,30.4696778
59.9261743,30.4006676
59.9218671,30.407107
59.9271545,30.3998337
59.9262894,30.4010407
59.944012,30.4050821
59.9486084,30.4071712
59.9238546,30.3898122
59.9239719,30.3907003
59.9241414,30.3910316
59.9374672,30.3955815
59.9216651,30.3929454
59.9202313,30.3955089
59.9446764,30.3038409
59.9422004,30.3389252
59.9321118,30.3121902
59.850985,30.3246176
59.8510582,30.3297864
59.8520466,30.3299884
59.8442907,30.3301715
59.7283231,30.3552976
59.8637032,30.4169765
59.9010047,30.4584342
59.9068153,30.4827338
59.9197365,30.4707229
59.9216392,30.4787994
59.9286287,30.4858658
59.8923354,30.490913
59.9483231,30.4363442
59.9479323,30.4362886
59.940334,30.4349395
59.9373227,30.4352563
59.9313379,30.3360213
59.9334929,30.2393463
59.9339175,30.2391246
59.9339874,30.2351025
59.9333715,30.2354223
59.933405,30.2359464
59.9295112,30.2501905
59.9286813,30.2684442
59.9119737,30.3487835
59.9211918,30.3546045
59.9193621,30.3534286
59.9137441,30.3596966
59.9230443,30.3417013
59.9280703,30.3475074
59.9380554,30.3416776
59.9428699,30.3486385
59.9430014,30.411774
59.9432318,30.3779642
59.942356,30.3636716
59.9424855,30.355429
59.943733,30.3780061
59.936279,30.2865398
59.9358362,30.2701618
59.8758023,30.3134176
59.8760712,30.336399
59.8779838,30.3488829
59.8781885,30.3491571
59.8785936,30.3487806
59.8657772,30.3569279
59.8525946,30.3641673
59.8756757,30.3058406
59.9050415,30.3381173
59.9058165,30.3787355
59.9440659,30.3487074
59.8456803,30.3167718
59.8514303,30.3066386
59.9115595,30.3072565
59.9133188,30.2775103
59.9129446,30.2669783
59.9094833,30.2644135
59.9131626,30.2732872
59.8865421,30.3733719
59.8893534,30.3803357
59.8915469,30.3849912
59.90348,30.3753019
59.9052532,30.3738914
59.9065095,30.3726808
59.9053967,30.3820887
59.9019898,30.4013052
59.902122,30.4009582
59.9011059,30.400752
59.8990323,30.419037
59.8963685,30.4235475
59.9442925,30.3256725
59.9382472,30.3483348
59.9260722,30.3304837
59.9266904,30.3320969
59.9204997,30.3590807
59.9248988,30.3775989
59.9307757,30.3830501
59.8442349,30.3675051
59.8359617,30.3717246
