y,x
30.2303357,-88.0220007
30.4971965,-88.3317492
30.554759,-88.171414
30.56214,-88.1992
30.556859,-88.20638
30.577078,-88.17075
30.5600376,-88.200751
30.552755,-88.124629
30.576771,-88.170941
30.582582,-88.172175
30.551957,-88.096087
30.479343,-88.3878495
30.4952673,-88.3359127
30.4772614,-88.3930967
30.556338,-88.172674
30.559756,-88.203415
30.552488,-88.123473
30.554758,-88.172004
30.478082,-88.339459
30.2541314,-88.1125664
30.3628548,-88.1147393
30.551229,-88.118103
30.523045,-88.2318012
30.5189784,-88.2306768
30.5352083,-88.2429899
30.5129489,-88.2275085
30.5378523,-88.2402726
30.5405516,-88.2417747
30.5361561,-88.2375804
30.5134697,-88.2256188
30.5351033,-88.2443239
30.5110823,-88.2287755
30.4950287,-88.2170343
30.5115719,-88.2291312
30.5134224,-88.2256954
30.5114076,-88.2281819
30.5809284,-88.1705024
30.5599871,-88.2045678
30.551668,-88.096963
30.5036748,-88.2192643
30.565269,-88.1721892
30.4798641,-88.3868668
30.5174613,-88.2757955
30.5155553,-88.2791867
30.4283654,-88.2460733
30.6784612,-87.9888897
30.6778977,-87.9854331
30.6804743,-88.0020006
30.6796321,-87.9969104
30.6811816,-87.9922779
30.6801144,-87.9895819
30.6524282,-88.070427
30.767467,-88.0948506
30.766887,-88.094622
30.742099,-88.10813
30.756168,-88.075893
30.7402739,-88.1074164
30.6912531,-88.0246082
30.728833,-88.074735
30.727574,-88.073193
30.72978,-88.0705597
30.7310218,-88.0669881
30.7312224,-88.0666257
30.594241,-88.149967
30.6905556,-88.0390238
30.6903693,-88.0237375
30.747386,-88.161165
30.6770583,-88.128697
30.637716,-88.089882
30.6735467,-88.1273789
30.7667715,-88.0928388
30.6762464,-88.1278311
30.710861,-88.170319
30.7094819,-88.1212542
30.7087739,-88.1217212
30.738365,-88.110734
30.8027537,-88.1036581
30.7114955,-88.1696259
30.7384044,-88.0849359
30.7512297,-88.0914996
30.6625556,-88.0572977
30.732598,-88.056653
30.6914025,-88.0225563
30.829689,-88.087314
30.639897,-88.090711
